time,PSI
1AM 23,90
2AM,88
3AM,89
4AM,93
5AM,99
6AM,104
7AM,106
8AM,105
9AM,101
10AM,96
11AM,90
12PM,83
1PM,80
2PM,78
3PM,78
4PM,77
5PM,77
6PM,76
7PM,75
8PM,75
9PM,76
10PM,79
11PM,80
12AM 24,76
1AM,70
